accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac,speed
12.862,7.518,-51.488,361.662,242.618,10.528,-482.654,-805.308,13.885,-8.308,15.236,-1.583,147.532,-163.903
-7.197,0.891,-0.201,170.741,-57.618,-38.118,-483,-804.284,-82.77,-77.276,13.862,-1.173,147.439,-164.059
-7.197,0.891,-0.201,170.741,-57.618,-38.118,-483.461,-802.918,-82.77,-77.276,12.371,-0.379,147.542,-164.266
0.096,0.723,-1.001,194.179,-104.616,-35.555,-484.193,-801.559,4.435,-35.848,11.458,0.814,148.065,-164.264
0.096,0.723,-1.001,194.179,-104.616,-35.555,-484.925,-800.199,4.435,-35.848,10.554,1.995,148.589,-164.261
0.096,0.723,-1.001,194.179,-104.616,-35.555,-485.658,-798.84,4.435,-35.848,9.659,3.164,149.116,-164.259
-0.187,-0.532,-0.259,195.705,-112.734,-27.498,-486.447,-797.47,-17.534,64.058,8.489,5.332,150.288,-164.263
-0.187,-0.532,-0.259,195.705,-112.734,-27.498,-487.236,-796.1,-17.534,64.058,7.33,7.479,151.505,-164.268
-0.187,-0.532,-0.259,195.705,-112.734,-27.498,-488.025,-794.73,-17.534,64.058,6.183,9.605,152.774,-164.273
-0.493,0.148,-0.225,170.008,-114.565,-26.399,-488.941,-793.37,-61.338,-33.408,4.464,10.723,141.15,-164.287
-0.493,0.148,-0.225,170.008,-114.565,-26.399,-489.743,-792.18,-61.338,-33.408,2.893,11.637,140.945,-164.299
-0.493,0.148,-0.225,170.008,-114.565,-26.399,-490.545,-790.99,-61.338,-33.408,1.338,12.541,140.694,-164.312
-0.594,-0.819,1.422,161.524,-116.945,-21.577,-491.364,-789.86,-19.891,150.068,0.194,15.204,142.219,-164.327
-0.594,-0.819,1.422,161.524,-116.945,-21.577,-492.183,-788.729,-19.891,150.068,-0.939,17.839,143.898,-164.342
-0.594,-0.819,1.422,161.524,-116.945,-21.577,-493.001,-787.598,-19.891,150.068,-2.061,20.449,145.759,-164.357
-0.522,-0.35,0.053,180.018,-119.875,-13.704,-493.84,-786.338,-55.891,98.569,-3.554,22.665,147.096,-164.37
-0.522,-0.35,0.053,180.018,-119.875,-13.704,-494.679,-785.078,-55.891,98.569,-5.033,24.859,148.589,-164.383
-3.563,-24.336,-48.346,171.656,-112.246,-11.568,-495.465,-783.876,-3.766,26.719,-5.915,26.245,149.686,-164.473
-3.563,-24.336,-48.346,171.656,-112.246,-11.568,-496.251,-782.675,-3.766,26.719,-6.788,27.618,150.872,-164.563
-3.563,-24.336,-48.346,171.656,-112.246,-11.568,-497.036,-781.473,-3.766,26.719,-7.652,28.977,152.16,-164.652
-1.92,-1.24,-16.746,-115.213,-30.762,-48.311,-497.252,-782.28,-6.524,4.236,-7.886,27.811,150.148,-164.701
-1.92,-1.24,-16.746,-115.213,-30.762,-48.311,-497.467,-783.086,-6.524,4.236,-8.118,26.657,148.219,-164.749
-1.92,-1.24,-16.746,-115.213,-30.762,-48.311,-497.682,-783.893,-6.524,4.236,-8.347,25.515,146.374,-164.798
0.273,-0.153,-3.946,-244.549,16.54,-40.865,-497.567,-785.605,3.954,2.224,-8.092,23.333,143.767,-164.791
0.273,-0.153,-3.946,-244.549,16.54,-40.865,-497.434,-787.561,3.954,2.224,-7.821,20.895,141.152,-164.783
0.273,-0.153,-3.946,-244.549,16.54,-40.865,-497.319,-789.273,3.954,2.224,-7.571,18.759,139.12,-164.776
-0.661,-0.718,-0.982,-309.613,31.067,-47.213,-497.101,-791.44,-28.514,36.193,-7.533,16.466,136.937,-164.793
-0.661,-0.718,-0.982,-309.613,31.067,-47.213,-496.884,-793.607,-28.514,36.193,-7.495,14.196,134.994,-164.809
-0.661,-0.718,-0.982,-309.613,31.067,-47.213,-496.635,-796.084,-28.514,36.193,-7.423,11.596,133.036,-164.828
-1.58,-2.935,-3.371,-313.703,12.024,-23.348,-496.551,-798.28,-19.469,41.047,-7.447,9.39,137.599,-164.868
-1.58,-2.935,-3.371,-313.703,12.024,-23.348,-496.467,-800.476,-19.469,41.047,-7.472,7.207,136.28,-164.908
0.187,-4.118,-5.32,-404.402,-23.499,6.072,-496.631,-803.307,1.59,37.743,-7.568,4.289,134.651,-164.903
0.187,-4.118,-5.32,-404.402,-23.499,6.072,-496.819,-806.542,1.59,37.743,-7.691,0.941,133.004,-164.898
0.187,-4.118,-5.32,-404.402,-23.499,6.072,-496.984,-809.373,1.59,37.743,-7.785,-1.914,131.784,-164.893
1.896,8.462,-64.015,-489.425,-39.247,21.575,-497.258,-812.799,1.682,-7.53,-8.003,-5.871,130.291,-164.845
1.896,8.462,-64.015,-489.425,-39.247,21.575,-497.533,-816.225,1.682,-7.53,-8.219,-9.788,129.074,-164.798
1.896,8.462,-64.015,-489.425,-39.247,21.575,-497.847,-820.14,1.682,-7.53,-8.478,-14.223,127.971,-164.743
-0.316,2.346,-4.429,-235.759,-8.057,27.129,-497.904,-821.791,-3.608,-27.911,-8.493,-16.239,127.604,-164.751
-0.316,2.346,-4.429,-235.759,-8.057,27.129,-497.96,-823.441,-3.608,-27.911,-8.509,-18.235,127.287,-164.759
-0.316,2.346,-4.429,-235.759,-8.057,27.129,-498.016,-825.091,-3.608,-27.911,-8.524,-20.21,127.019,-164.767
0.402,0.445,0.742,-116.739,-21.79,26.214,-498.191,-826.025,24.925,-149.036,-8.388,-22.562,126.805,-164.755
0.402,0.445,0.742,-116.739,-21.79,26.214,-498.343,-826.842,24.925,-149.036,-8.228,-24.757,126.659,-164.745
0.402,0.445,0.742,-116.739,-21.79,26.214,-498.496,-827.66,24.925,-149.036,-8.07,-26.93,126.552,-164.735
0.192,1.652,-1.441,-90.371,-29.481,18.706,-498.702,-828.292,4.993,-48.896,-8.175,-27.87,126.472,-164.73
0.192,1.652,-1.441,-90.371,-29.481,18.706,-498.908,-828.925,4.993,-48.896,-8.278,-28.8,126.403,-164.725
-0.019,6.503,-5.679,-95.987,-37.415,10.894,-499.17,-829.597,-0.127,-48.868,-8.495,-29.766,141.954,-164.726
-0.019,6.503,-5.679,-95.987,-37.415,10.894,-499.432,-830.269,-0.127,-48.868,-8.709,-30.722,141.749,-164.726
-0.019,6.503,-5.679,-95.987,-37.415,10.894,-499.732,-831.037,-0.127,-48.868,-8.964,-31.778,141.532,-164.727
-0.014,3.706,-4.252,40.124,-35.828,13.091,-499.982,-830.756,-0.146,-41.076,-9.162,-31.551,141.517,-164.727
-0.014,3.706,-4.252,40.124,-35.828,13.091,-500.233,-830.475,-0.146,-41.076,-9.357,-31.326,141.501,-164.728
-0.014,3.706,-4.252,40.124,-35.828,13.091,-500.484,-830.194,-0.146,-41.076,-9.55,-31.104,141.485,-164.728
0.01,0.148,-0.757,100.732,-35.767,15.166,-500.734,-829.489,0.712,-11.101,-9.733,-30.101,141.587,-164.728
0.01,0.148,-0.757,100.732,-35.767,15.166,-500.985,-828.784,0.712,-11.101,-9.913,-29.108,141.696,-164.727
0.01,0.148,-0.757,100.732,-35.767,15.166,-501.235,-828.079,0.712,-11.101,-10.092,-28.126,141.811,-164.727
-4.928,5.703,-50.223,128.87,-29.725,15.349,-501.443,-827.176,-5.568,-6.479,-10.284,-26.882,141.977,-164.851
-4.928,5.703,-50.223,128.87,-29.725,15.349,-501.681,-826.146,-5.568,-6.479,-10.507,-25.504,142.174,-164.993
0.417,-0.005,-6.532,50.378,-24.842,14.739,-501.855,-825.793,3.65,0.042,-10.564,-24.847,142.288,-164.983
