accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac
0.043,0.105,-9.702,-3.035,0.132,1.86,68.695,384.899,0.255,-0.622,0.109,-0.521,-60.447
0.043,0.105,-9.702,-3.035,0.132,1.86,68.696,384.878,0.255,-0.622,0.111,-0.547,-60.439
0.043,0.105,-9.702,-3.035,0.132,1.86,68.696,384.86,0.255,-0.622,0.114,-0.57,-60.432
0.005,0.144,-9.668,-2.852,0.132,1.799,68.697,384.84,0.028,-0.851,0.114,-0.596,-60.422
0.005,0.144,-9.668,-2.852,0.132,1.799,68.698,384.823,0.028,-0.851,0.114,-0.619,-60.414
0.005,0.144,-9.668,-2.852,0.132,1.799,68.699,384.803,0.028,-0.851,0.114,-0.645,-60.404
-0.259,0.144,-9.616,-0.594,0.132,1.921,68.7,384.799,-1.54,-0.856,0.099,-0.652,-60.391
-0.259,0.144,-9.616,-0.594,0.132,1.921,68.701,384.795,-1.54,-0.856,0.083,-0.658,-60.379
-0.259,0.144,-9.616,-0.594,0.132,1.921,68.701,384.792,-1.54,-0.856,0.068,-0.665,-60.366
-0.536,0.148,-9.611,2.092,0.315,1.86,68.704,384.806,-3.194,-0.885,0.038,-0.65,-60.352
-0.536,0.148,-9.611,2.092,0.315,1.86,68.706,384.819,-3.194,-0.885,0.008,-0.637,-60.337
-0.536,0.148,-9.611,2.092,0.315,1.86,68.708,384.833,-3.194,-0.885,-0.021,-0.622,-60.323
-0.575,0.12,-9.616,4.411,0.376,1.738,68.71,384.86,-3.42,-0.713,-0.053,-0.592,-60.314
-0.575,0.12,-9.616,4.411,0.376,1.738,68.713,384.891,-3.42,-0.713,-0.083,-0.556,-60.307
-0.575,0.12,-9.616,4.411,0.376,1.738,68.715,384.922,-3.42,-0.713,-0.113,-0.521,-60.3
-0.383,0.12,-9.63,6.669,0.437,1.616,68.718,384.968,-2.278,-0.712,-0.131,-0.467,-60.159
-0.383,0.12,-9.63,6.669,0.437,1.616,68.721,385.008,-2.278,-0.712,-0.15,-0.422,-60.164
-0.383,0.12,-9.63,6.669,0.437,1.616,68.724,385.055,-2.278,-0.712,-0.167,-0.37,-60.172
-0.048,0.081,-9.606,9.843,0.498,1.555,68.728,385.124,-0.286,-0.486,-0.165,-0.289,-60.205
-0.048,0.081,-9.606,9.843,0.498,1.555,68.731,385.193,-0.286,-0.486,-0.162,-0.209,-60.238
-0.048,0.081,-9.606,9.843,0.498,1.555,68.734,385.252,-0.286,-0.486,-0.159,-0.142,-60.265
0.029,0.01,-9.544,14.238,0.498,1.616,68.737,385.352,0.172,-0.057,-0.152,-0.022,-60.315
0.029,0.01,-9.544,14.238,0.498,1.616,68.74,385.437,0.172,-0.057,-0.145,0.079,-60.358
0.029,0.01,-9.544,14.238,0.498,1.616,68.744,385.537,0.172,-0.057,-0.138,0.196,-60.407
-0.273,-0.072,-9.683,17.778,0.498,1.677,68.747,385.661,-1.615,0.425,-0.148,0.346,-60.456
-0.273,-0.072,-9.683,17.778,0.498,1.677,68.751,385.786,-1.615,0.425,-0.159,0.494,-60.504
-0.273,-0.072,-9.683,17.778,0.498,1.677,68.754,385.892,-1.615,0.425,-0.17,0.62,-60.544
-0.517,-0.177,-9.826,18.205,0.62,1.616,68.759,386.038,-3.012,1.033,-0.192,0.798,-60.594
-0.517,-0.177,-9.826,18.205,0.62,1.616,68.763,386.147,-3.012,1.033,-0.216,0.93,-60.627
-0.517,-0.177,-9.826,18.205,0.62,1.616,68.767,386.275,-3.012,1.033,-0.239,1.082,-60.668
-0.134,-0.182,-9.778,16.374,0.742,1.494,68.771,386.373,-0.785,1.066,-0.239,1.199,-60.71
