accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac
-2.045,0.125,-9.716,0,-0.493,0.537,-164.768,715.812,-11.883,-0.734,-0.08,-0.21,-48.504
-0.57,0.139,-9.491,-1.099,-0.249,0.537,-164.769,715.805,-3.436,-0.838,-0.115,-0.225,-48.474
-0.57,0.139,-9.491,-1.099,-0.249,0.537,-164.771,715.797,-3.436,-0.838,-0.15,-0.24,-48.444
-0.57,0.139,-9.491,-1.099,-0.249,0.537,-164.773,715.789,-3.436,-0.838,-0.185,-0.255,-48.414
-0.072,0.096,-9.462,3.54,0.728,0.598,-164.768,715.814,-0.435,-0.58,-0.182,-0.23,-48.43
-0.072,0.096,-9.462,3.54,0.728,0.598,-164.763,715.839,-0.435,-0.58,-0.179,-0.205,-48.446
-0.072,0.096,-9.462,3.54,0.728,0.598,-164.758,715.864,-0.435,-0.58,-0.175,-0.181,-48.461
-0.043,0.086,-9.673,8.667,1.765,0.537,-164.747,715.916,-0.255,-0.511,-0.164,-0.125,-48.499
-0.043,0.086,-9.673,8.667,1.765,0.537,-164.735,715.976,-0.255,-0.511,-0.151,-0.06,-48.543
-0.043,0.086,-9.673,8.667,1.765,0.537,-164.722,716.037,-0.255,-0.511,-0.138,0.005,-48.586
0.125,0.086,-9.793,11.108,1.765,0.537,-164.71,716.115,0.728,-0.504,-0.115,0.088,-48.646
0.125,0.086,-9.793,11.108,1.765,0.537,-164.699,716.181,0.728,-0.504,-0.095,0.158,-48.697
0.125,0.086,-9.793,11.108,1.765,0.537,-164.689,716.248,0.728,-0.504,-0.074,0.228,-48.747
0.546,0.048,-9.855,12.207,0.728,0.537,-164.684,716.321,3.171,-0.278,-0.037,0.306,-48.812
0.546,0.048,-9.855,12.207,0.728,0.537,-164.679,716.407,3.171,-0.278,0.001,0.397,-48.885
0.546,0.048,-9.855,12.207,0.728,0.537,-164.674,716.492,3.171,-0.278,0.038,0.488,-48.957
0.407,-0.081,-9.98,11.536,-0.554,0.659,-164.678,716.561,2.336,0.467,0.058,0.567,-49.011
0.407,-0.081,-9.98,11.536,-0.554,0.659,-164.681,716.631,2.336,0.467,0.077,0.644,-49.064
0.407,-0.081,-9.98,11.536,-0.554,0.659,-164.685,716.711,2.336,0.467,0.095,0.735,-49.123
0.091,-0.024,-9.644,9.521,-1.47,0.598,-164.695,716.778,0.541,0.142,0.088,0.805,-48.736
0.091,-0.024,-9.644,9.521,-1.47,0.598,-164.704,716.835,0.541,0.142,0.082,0.863,-48.762
0.091,-0.024,-9.644,9.521,-1.47,0.598,-164.713,716.892,0.541,0.142,0.077,0.921,-48.788
-0.067,-0.043,-9.295,14.649,-1.531,0.659,-164.723,716.995,-0.413,0.266,0.059,1.031,-48.834
-0.067,-0.043,-9.295,14.649,-1.531,0.659,-164.733,717.083,-0.413,0.266,0.044,1.123,-48.871
-0.067,-0.043,-9.295,14.649,-1.531,0.659,-164.743,717.185,-0.413,0.266,0.028,1.232,-48.915
0.187,-0.244,-9.845,20.447,-0.005,0.842,-164.743,717.308,1.086,1.421,0.038,1.373,-48.992
0.187,-0.244,-9.845,20.447,-0.005,0.842,-164.743,717.451,1.086,1.421,0.049,1.537,-49.078
0.187,-0.244,-9.845,20.447,-0.005,0.842,-164.743,717.594,1.086,1.421,0.059,1.698,-49.163
-0.599,-0.354,-10.329,11.047,0.667,0.903,-164.739,717.672,-3.315,1.965,0.03,1.789,-49.191
-0.599,-0.354,-10.329,11.047,0.667,0.903,-164.734,717.749,-3.315,1.965,0.002,1.879,-49.219
-0.599,-0.354,-10.329,11.047,0.667,0.903,-164.729,717.826,-3.315,1.965,-0.026,1.968,-49.247
-1.293,-0.211,-10.027,-5.921,-0.127,0.354,-164.73,717.791,-7.346,1.204,-0.1,1.92,-49.182
-1.293,-0.211,-10.027,-5.921,-0.127,0.354,-164.731,717.749,-7.346,1.204,-0.173,1.865,-49.114
-0.613,-0.225,-9.783,-15.259,-1.042,0.048,-164.738,717.642,-3.584,1.318,-0.216,1.738,-49.028
-0.613,-0.225,-9.783,-15.259,-1.042,0.048,-164.745,717.551,-3.584,1.318,-0.256,1.63,-48.952
-0.613,-0.225,-9.783,-15.259,-1.042,0.048,-164.752,717.444,-3.584,1.318,-0.298,1.505,-48.867
-0.613,-0.225,-9.783,-15.259,-1.042,0.048,-164.758,717.352,-3.584,1.318,-0.338,1.399,-48.792
-0.187,-0.105,-9.563,-17.762,-0.798,-0.135,-164.764,717.228,-1.119,0.631,-0.352,1.25,-49.198
-0.187,-0.105,-9.563,-17.762,-0.798,-0.135,-164.77,717.086,-1.119,0.631,-0.367,1.082,-49.102
0.354,-0.01,-9.544,-15.442,-0.005,-0.013,-164.77,716.993,2.126,0.057,-0.342,0.966,-49.057
0.354,-0.01,-9.544,-15.442,-0.005,-0.013,-164.77,716.885,2.126,0.057,-0.317,0.834,-49.002
0.354,-0.01,-9.544,-15.442,-0.005,-0.013,-164.77,716.777,2.126,0.057,-0.293,0.703,-48.948
0.733,0.067,-9.592,-8.667,0.056,0.109,-164.77,716.717,4.368,-0.4,-0.246,0.623,-48.934
0.733,0.067,-9.592,-8.667,0.056,0.109,-164.769,716.656,4.368,-0.4,-0.199,0.544,-48.92
0.733,0.067,-9.592,-8.667,0.056,0.109,-164.769,716.604,4.368,-0.4,-0.153,0.475,-48.912
0.426,-0.048,-9.898,-3.845,-0.188,0.293,-164.77,716.577,2.465,0.277,-0.129,0.442,-48.91
0.426,-0.048,-9.898,-3.845,-0.188,0.293,-164.772,716.55,2.465,0.277,-0.104,0.41,-48.907
0.426,-0.048,-9.898,-3.845,-0.188,0.293,-164.773,716.523,2.465,0.277,-0.08,0.378,-48.905
-0.34,-0.005,-9.869,-7.63,-0.493,0.231,-164.776,716.477,-1.973,0.028,-0.102,0.322,-48.862
-0.34,-0.005,-9.869,-7.63,-0.493,0.231,-164.779,716.424,-1.973,0.028,-0.125,0.259,-48.814
-0.34,-0.005,-9.869,-7.63,-0.493,0.231,-164.783,716.371,-1.973,0.028,-0.147,0.196,-48.767
-0.412,0.038,-9.769,-12.452,-0.615,0.293,-164.788,716.271,-2.414,-0.225,-0.176,0.078,-48.687
-0.412,0.038,-9.769,-12.452,-0.615,0.293,-164.792,716.184,-2.414,-0.225,-0.203,-0.024,-48.615
-0.412,0.038,-9.769,-12.452,-0.615,0.293,-164.796,716.109,-2.414,-0.225,-0.229,-0.111,-48.552
-0.417,0.072,-9.841,-17.395,-0.249,0.231,-164.797,715.987,-2.424,-0.418,-0.253,-0.253,-49.967
-0.417,0.072,-9.841,-17.395,-0.249,0.231,-164.799,715.866,-2.424,-0.418,-0.277,-0.393,-49.878
-0.417,0.072,-9.841,-17.395,-0.249,0.231,-164.801,715.761,-2.424,-0.418,-0.3,-0.512,-49.8
-0.469,0.148,-9.592,-23.377,0.3,0.231,-164.799,715.598,-2.801,-0.887,-0.323,-0.702,-49.684
-0.469,0.148,-9.592,-23.377,0.3,0.231,-164.796,715.434,-2.801,-0.887,-0.345,-0.891,-49.568
-0.469,0.148,-9.592,-23.377,0.3,0.231,-164.794,715.27,-2.801,-0.887,-0.367,-1.077,-49.453
-0.278,0.397,-9.343,-22.095,1.033,0.17,-164.788,715.138,-1.701,-2.436,-0.373,-1.241,-49.359
-0.278,0.397,-9.343,-22.095,1.033,0.17,-164.781,714.983,-1.701,-2.436,-0.379,-1.429,-49.252
-0.278,0.397,-9.343,-22.095,1.033,0.17,-164.774,714.828,-1.701,-2.436,-0.384,-1.616,-49.146
0.081,0.431,-9.204,-8.484,0.85,0.231,-164.769,714.777,0.506,-2.681,-0.369,-1.684,-49.117
0.081,0.431,-9.204,-8.484,0.85,0.231,-164.762,714.71,0.506,-2.681,-0.352,-1.771,-49.078
0.081,0.431,-9.204,-8.484,0.85,0.231,-164.757,714.659,0.506,-2.681,-0.338,-1.838,-49.05
0.618,0.359,-9.496,9.705,0.361,0.354,-164.754,714.727,3.719,-2.166,-0.295,-1.764,-49.119
0.618,0.359,-9.496,9.705,0.361,0.354,-164.752,714.795,3.719,-2.166,-0.251,-1.691,-49.188
0.618,0.359,-9.496,9.705,0.361,0.354,-164.75,714.853,3.719,-2.166,-0.209,-1.63,-49.249
0.709,0.215,-9.941,19.531,-0.066,0.476,-164.75,714.99,4.077,-1.242,-0.167,-1.47,-49.364
0.709,0.215,-9.941,19.531,-0.066,0.476,-164.75,715.126,4.077,-1.242,-0.125,-1.312,-49.478
0.709,0.215,-9.941,19.531,-0.066,0.476,-164.751,715.263,4.077,-1.242,-0.084,-1.156,-49.59
0.101,0.12,-10.075,14.587,-0.798,0.659,-164.756,715.35,0.572,-0.681,-0.082,-1.051,-46.402
0.101,0.12,-10.075,14.587,-0.798,0.659,-164.762,715.467,0.572,-0.681,-0.083,-0.915,-46.483
-0.512,0.12,-9.793,3.906,-1.226,0.659,-164.771,715.495,-2.995,-0.7,-0.122,-0.881,-46.479
-0.512,0.12,-9.793,3.906,-1.226,0.659,-164.778,715.518,-2.995,-0.7,-0.159,-0.853,-46.472
-0.512,0.12,-9.793,3.906,-1.226,0.659,-164.787,715.545,-2.995,-0.7,-0.197,-0.82,-46.468
-1.044,0.177,-9.323,0.366,-0.798,0.598,-164.792,715.548,-6.387,-1.089,-0.266,-0.82,-46.426
-1.044,0.177,-9.323,0.366,-0.798,0.598,-164.798,715.55,-6.387,-1.089,-0.333,-0.82,-46.384
-1.044,0.177,-9.323,0.366,-0.798,0.598,-164.803,715.553,-6.387,-1.089,-0.4,-0.82,-46.343
-0.991,0.168,-9.209,7.568,0.3,0.537,-164.801,715.606,-6.143,-1.043,-0.455,-0.762,-46.344
-0.991,0.168,-9.209,7.568,0.3,0.537,-164.799,715.651,-6.143,-1.043,-0.51,-0.713,-46.339
-0.991,0.168,-9.209,7.568,0.3,0.537,-164.797,715.704,-6.143,-1.043,-0.564,-0.656,-46.34
-0.067,0.172,-9.233,20.935,1.338,0.354,-164.789,715.83,-0.416,-1.07,-0.553,-0.517,-46.429
-0.067,0.172,-9.233,20.935,1.338,0.354,-164.779,715.997,-0.416,-1.07,-0.54,-0.332,-46.546
-0.067,0.172,-9.233,20.935,1.338,0.354,-164.768,716.165,-0.416,-1.07,-0.526,-0.148,-46.661
0.704,0.072,-9.462,36.621,1.338,0.354,-164.759,716.421,4.254,-0.435,-0.468,0.141,-46.863
0.704,0.072,-9.462,36.621,1.338,0.354,-164.749,716.678,4.254,-0.435,-0.41,0.427,-47.062
0.704,0.072,-9.462,36.621,1.338,0.354,-164.74,716.934,4.254,-0.435,-0.353,0.71,-47.256
1.346,-0.081,-9.558,48.951,0.483,0.598,-164.737,717.228,8.013,0.488,-0.266,1.042,-47.494
1.346,-0.081,-9.558,48.951,0.483,0.598,-164.734,717.57,8.013,0.488,-0.179,1.427,-47.757
1.346,-0.081,-9.558,48.951,0.483,0.598,-164.73,717.913,8.013,0.488,-0.093,1.807,-48.015
1.106,-0.345,-9.764,54.993,-0.737,1.269,-164.735,718.243,6.46,2.022,-0.033,2.185,-49.212
1.106,-0.345,-9.764,54.993,-0.737,1.269,-164.74,718.628,6.46,2.022,0.026,2.622,-49.463
1.106,-0.345,-9.764,54.993,-0.737,1.269,-164.744,718.958,6.46,2.022,0.086,2.992,-49.678
0.584,-0.785,-9.936,51.881,-1.775,2.124,-164.757,719.321,3.354,4.519,0.104,3.42,-49.896
0.584,-0.785,-9.936,51.881,-1.775,2.124,-164.769,719.684,3.354,4.519,0.123,3.845,-50.107
0.584,-0.785,-9.936,51.881,-1.775,2.124,-164.781,720.047,3.354,4.519,0.141,4.265,-50.313
-1.901,-0.905,-10.157,39.917,-1.531,2.185,-164.792,720.327,-10.561,5.092,0.021,4.591,-50.397
-1.901,-0.905,-10.157,39.917,-1.531,2.185,-164.803,720.606,-10.561,5.092,-0.097,4.914,-50.479
-1.901,-0.905,-10.157,39.917,-1.531,2.185,-164.812,720.846,-10.561,5.092,-0.212,5.189,-50.541
-2.002,-0.958,-10.291,20.874,-0.676,1.33,-164.817,720.992,-10.961,5.317,-0.325,5.357,-50.555
-2.002,-0.958,-10.291,20.874,-0.676,1.33,-164.822,721.159,-10.961,5.317,-0.437,5.546,-50.58
-2.002,-0.958,-10.291,20.874,-0.676,1.33,-164.826,721.284,-10.961,5.317,-0.547,5.687,-50.584
-1.015,-0.986,-10.578,-7.141,-0.554,0.476,-164.83,721.234,-5.458,5.328,-0.6,5.626,-50.528
-1.015,-0.986,-10.578,-7.141,-0.554,0.476,-164.834,721.184,-5.458,5.328,-0.653,5.566,-50.473
-1.015,-0.986,-10.578,-7.141,-0.554,0.476,-164.838,721.134,-5.458,5.328,-0.706,5.507,-50.419
-1.207,-0.848,-10.449,-37.965,-1.104,-0.257,-164.844,720.906,-6.567,4.638,-0.772,5.239,-50.262
-1.207,-0.848,-10.449,-37.965,-1.104,-0.257,-164.852,720.641,-6.567,4.638,-0.839,4.93,-50.085
-1.207,-0.848,-10.449,-37.965,-1.104,-0.257,-164.859,720.413,-6.567,4.638,-0.904,4.668,-49.928
-1.844,-0.57,-9.687,-59.816,-1.104,-0.562,-164.867,719.994,-10.757,3.366,-1.011,4.178,-49.242
-1.844,-0.57,-9.687,-59.816,-1.104,-0.562,-164.874,719.575,-10.757,3.366,-1.117,3.694,-48.962
-0.828,-0.369,-9.271,-60.426,-0.92,-1.05,-164.882,719.092,-5.102,2.278,-1.165,3.129,-48.669
-0.828,-0.369,-9.271,-60.426,-0.92,-1.05,-164.888,718.669,-5.102,2.278,-1.212,2.639,-48.407
-0.828,-0.369,-9.271,-60.426,-0.92,-1.05,-164.894,718.306,-5.102,2.278,-1.257,2.223,-48.178
1.82,0.139,-9.022,-47.486,-0.31,-0.928,-164.896,717.974,11.402,-0.882,-1.133,1.813,-48.04
