accx,accy,accz,gyrX,gyrY,gyrZ,thetaG,phiG,thetaAm,phiAm,thetaC1,phic1,alphac,speed
-0.819,-1.336,-9.659,14.049,-0.541,-0.219,-40.57,1214.19,-4.8,7.875,-2.607,8.231,-68.276,-709.366
-0.819,-1.336,-9.659,14.049,-0.541,-0.219,-40.574,1214.31,-4.8,7.875,-2.634,8.355,-68.302,-709.39
-0.623,-1.326,-9.635,8.983,-0.907,-0.525,-40.579,1214.36,-3.662,7.839,-2.65,8.411,-68.309,-709.403
-0.623,-1.326,-9.635,8.983,-0.907,-0.525,-40.587,1214.43,-3.662,7.839,-2.669,8.488,-68.323,-709.421
-0.623,-1.326,-9.635,8.983,-0.907,-0.525,-40.593,1214.49,-3.662,7.839,-2.686,8.553,-68.334,-709.437
-0.464,-1.307,-9.654,6.481,-1.152,-0.463,-40.602,1214.55,-2.73,7.712,-2.697,8.603,-65.873,-709.45
-0.464,-1.307,-9.654,6.481,-1.152,-0.463,-40.61,1214.59,-2.73,7.712,-2.706,8.646,-65.883,-709.462
-0.464,-1.307,-9.654,6.481,-1.152,-0.463,-40.618,1214.64,-2.73,7.712,-2.716,8.688,-65.893,-709.474
-0.33,-1.25,-9.649,6.115,-1.152,-0.341,-40.628,1214.68,-1.945,7.38,-2.718,8.731,-65.908,-709.483
-0.33,-1.25,-9.649,6.115,-1.152,-0.341,-40.636,1214.73,-1.945,7.38,-2.72,8.766,-65.922,-709.491
-0.56,-1.341,-9.63,6.298,-1.213,-0.525,-40.644,1214.77,-3.298,7.927,-2.735,8.808,-65.926,-709.506
-0.56,-1.341,-9.63,6.298,-1.213,-0.525,-40.653,1214.82,-3.298,7.927,-2.751,8.849,-65.931,-709.52
-0.56,-1.341,-9.63,6.298,-1.213,-0.525,-40.661,1214.86,-3.298,7.927,-2.766,8.89,-65.936,-709.534
-0.584,-1.542,-9.51,4.833,-0.48,-0.402,-40.664,1214.89,-3.47,9.21,-2.777,8.932,-65.944,-709.548
-0.584,-1.542,-9.51,4.833,-0.48,-0.402,-40.668,1214.93,-3.47,9.21,-2.787,8.973,-65.952,-709.563
-0.584,-1.542,-9.51,4.833,-0.48,-0.402,-40.671,1214.96,-3.47,9.21,-2.798,9.014,-65.961,-709.578
-0.737,-1.504,-9.525,0.927,1.29,0.94,-40.662,1214.97,-4.373,8.971,-2.803,9.021,-65.959,-709.596
-0.737,-1.504,-9.525,0.927,1.29,0.94,-40.653,1214.97,-4.373,8.971,-2.809,9.028,-65.957,-709.615
-0.737,-1.504,-9.525,0.927,1.29,0.94,-40.643,1214.98,-4.373,8.971,-2.813,9.036,-65.957,-709.636
-0.594,-1.326,-9.711,-3.773,2.511,1.856,-40.625,1214.96,-3.467,7.778,-2.799,8.993,-65.951,-709.651
-0.594,-1.326,-9.711,-3.773,2.511,1.856,-40.605,1214.93,-3.467,7.778,-2.783,8.947,-65.945,-709.668
